kick_result,kick_distance,game_seconds_remaining,total_home_score,total_away_score,home_team,away_team,posteam_score,defteam_score,score_differential
1,21,3003,0,3,PHI,ATL,0,0,0
1,26,2172,3,3,PHI,ATL,0,3,-3
1,52,1933,3,6,PHI,ATL,3,3,0
1,41,2598,17,0,BAL,BUF,14,0,14
0,52,2328,17,0,BAL,BUF,0,17,-17
1,39,2060,20,0,BAL,BUF,17,0,17
1,35,1062,40,3,BAL,BUF,0,40,-40
1,39,3317,0,3,NYG,JAX,0,0,0
1,27,2726,3,3,NYG,JAX,0,3,-3
1,39,2242,3,6,NYG,JAX,3,3,0
1,31,1807,6,13,NYG,JAX,3,13,-10
1,44,1463,9,13,NYG,JAX,6,13,-7
1,36,2970,10,7,NO,TB,7,7,0
1,33,2477,17,17,NO,TB,14,17,-3
1,36,1589,24,33,NO,TB,30,24,6
0,44,297,32,47,NO,TB,47,32,15
1,42,2857,7,3,NE,HOU,0,7,-7
1,36,2343,14,6,NE,HOU,3,14,-11
1,39,1265,24,6,NE,HOU,21,6,15
1,35,593,27,13,NE,HOU,24,13,11
1,48,2940,3,0,MIN,SF,0,0,0
1,42,2507,10,3,MIN,SF,0,10,-10
1,33,1458,16,6,MIN,SF,3,16,-13
1,22,493,23,16,MIN,SF,13,23,-10
1,47,3322,0,3,MIA,TEN,0,0,0
1,27,1149,10,3,MIA,TEN,7,3,4
1,30,233,27,17,MIA,TEN,24,17,7
1,53,16,27,20,MIA,TEN,17,27,-10
1,42,3205,0,3,IND,CIN,0,0,0
1,21,2787,3,3,IND,CIN,0,3,-3
1,38,1986,13,3,IND,CIN,10,3,7
1,51,1806,16,10,IND,CIN,13,10,3
0,55,917,23,17,IND,CIN,23,17,6
1,39,241,23,27,IND,CIN,24,23,1
0,42,107,21,21,CLE,PIT,21,21,0
0,43,13,21,21,CLE,PIT,21,21,0
1,45,3264,3,6,LAC,KC,0,6,-6
1,39,2725,6,13,LAC,KC,3,13,-10
1,46,1924,12,16,LAC,KC,13,12,1
0,48,71,28,37,LAC,KC,28,37,-9
1,35,2643,7,10,DEN,SEA,7,7,0
1,51,2129,17,10,DEN,SEA,14,10,4
0,46,1916,17,10,DEN,SEA,10,17,-7
1,53,1026,20,17,DEN,SEA,17,17,0
1,27,1807,10,0,CAR,DAL,7,0,7
0,47,1064,10,0,CAR,DAL,0,10,-10
1,31,736,0,24,ARI,WAS,21,0,21
1,26,2700,0,10,GB,CHI,7,0,7
1,33,1458,0,19,GB,CHI,16,0,16
1,42,1121,3,19,GB,CHI,0,19,-19
1,32,162,17,22,GB,CHI,19,17,2
1,35,2700,6,10,DET,NYJ,7,6,1
0,55,2368,6,10,DET,NYJ,6,10,-4
1,21,1815,9,17,DET,NYJ,6,17,-11
1,32,1219,16,39,DET,NYJ,36,16,20
0,44,1011,16,39,DET,NYJ,16,39,-23
1,24,2553,10,7,OAK,LA,7,7,0
0,46,2370,10,7,OAK,LA,7,10,-3
1,20,1963,10,10,OAK,LA,7,10,-3
1,48,1815,13,10,OAK,LA,10,10,0
1,28,1447,13,13,OAK,LA,10,13,-3
1,55,564,13,23,OAK,LA,20,13,7
1,20,198,13,26,OAK,LA,23,13,10
1,55,1655,28,17,CIN,BAL,14,28,-14
1,28,183,31,23,CIN,BAL,28,23,5
1,40,149,34,23,CIN,BAL,31,23,8
1,54,3400,0,3,ATL,CAR,0,0,0
1,44,3046,3,3,ATL,CAR,0,3,-3
1,49,2476,3,7,WAS,IND,0,7,-7
0,49,1805,3,14,WAS,IND,3,14,-11
1,27,1243,6,14,WAS,IND,3,14,-11
1,49,813,9,14,WAS,IND,6,14,-8
0,54,3016,7,0,TEN,HOU,0,7,-7
1,34,1064,14,10,TEN,HOU,7,14,-7
1,42,588,17,17,TEN,HOU,14,17,-3
1,31,65,20,17,TEN,HOU,17,17,0
0,42,1807,20,7,TB,PHI,7,20,-13
0,49,3009,0,14,PIT,KC,0,14,-14
1,55,611,9,20,NYJ,MIA,6,20,-14
1,41,360,12,20,NYJ,MIA,9,20,-11
1,43,2622,3,14,BUF,LAC,0,14,-14
1,41,1852,6,28,BUF,LAC,3,28,-25
1,24,232,13,31,BUF,LAC,28,13,15
0,48,1902,14,7,GB,MIN,7,14,-7
1,37,1802,17,7,GB,MIN,14,7,7
1,40,1296,20,7,GB,MIN,17,7,10
1,31,458,23,14,GB,MIN,20,14,6
1,48,137,26,21,GB,MIN,23,21,2
1,36,109,29,21,GB,MIN,26,21,5
0,52,3,29,29,GB,MIN,29,29,0
0,49,456,29,29,GB,MIN,29,29,0
0,35,4,29,29,GB,MIN,29,29,0
1,39,3215,0,3,NO,CLE,0,0,0
1,31,2872,3,3,NO,CLE,0,3,-3
0,44,2061,3,3,NO,CLE,3,3,0
1,39,1920,3,6,NO,CLE,3,3,0
0,44,861,3,12,NO,CLE,12,3,9
1,44,26,21,18,NO,CLE,18,18,0
0,52,8,21,18,NO,CLE,18,21,-3
1,45,3082,3,0,SF,DET,0,0,0
1,42,2100,13,7,SF,DET,10,7,3
1,27,1806,13,10,SF,DET,7,13,-6
1,43,1430,20,13,SF,DET,10,20,-10
1,36,685,30,13,SF,DET,27,13,14
1,20,2291,11,0,LA,ARI,8,0,8
0,54,3409,0,0,JAX,NE,0,0,0
1,29,1969,14,3,JAX,NE,0,14,-14
1,28,1374,24,3,JAX,NE,21,3,18
1,46,856,24,13,JAX,NE,10,24,-14
1,26,3276,0,3,DEN,OAK,0,0,0
1,46,2512,0,6,DEN,OAK,3,0,3
1,39,1067,10,19,DEN,OAK,7,19,-12
1,36,10,20,19,DEN,OAK,17,19,-2
1,37,3066,10,0,DAL,NYG,7,0,7
1,29,1547,13,0,DAL,NYG,10,0,10
1,28,1174,13,3,DAL,NYG,0,13,-13
1,38,15,20,13,DAL,NYG,10,20,-10
1,25,1871,10,0,CHI,SEA,7,0,7
1,56,1802,10,3,CHI,SEA,0,10,-10
1,45,1827,3,14,CLE,NYJ,0,14,-14
1,27,1224,6,14,CLE,NYJ,3,14,-11
1,28,538,14,17,CLE,NYJ,14,14,0
1,49,2383,7,10,ATL,NO,7,7,0
1,21,1989,7,13,ATL,NO,10,7,3
1,45,1810,14,16,ATL,NO,13,14,-1
1,41,2576,14,3,WAS,GB,0,14,-14
1,35,120,31,17,WAS,GB,28,17,11
0,55,2841,7,0,PHI,IND,7,0,7
1,33,1989,10,7,PHI,IND,7,7,0
1,35,1484,10,10,PHI,IND,7,10,-3
1,31,1406,10,13,PHI,IND,10,10,0
1,24,1073,13,13,PHI,IND,10,13,-3
1,28,862,13,16,PHI,IND,13,13,0
1,30,3147,0,10,MIN,BUF,7,0,7
1,50,2181,0,27,MIN,BUF,24,0,24
1,25,2015,7,10,MIA,OAK,7,7,0
1,52,25,28,20,MIA,OAK,17,28,-11
1,52,2923,10,14,BAL,DEN,7,14,-7
0,43,2085,17,14,BAL,DEN,17,14,3
1,52,1804,20,14,BAL,DEN,17,14,3
0,53,439,28,21,CAR,CIN,21,28,-7
1,40,76,31,21,CAR,CIN,28,21,7
1,23,3313,3,0,HOU,NYG,0,0,0
1,44,2513,3,10,HOU,NYG,7,3,4
1,30,2078,3,13,HOU,NYG,10,3,7
1,28,1804,6,20,HOU,NYG,3,20,-17
1,54,1426,9,20,HOU,NYG,6,20,-14
1,39,3003,0,3,JAX,TEN,0,0,0
1,46,2339,3,3,JAX,TEN,0,3,-3
0,48,1802,3,3,JAX,TEN,3,3,0
1,36,1505,3,6,JAX,TEN,3,3,0
1,38,691,6,6,JAX,TEN,3,6,-3
1,28,253,6,9,JAX,TEN,6,6,0
1,39,1804,35,10,KC,SF,7,35,-28
1,37,831,38,24,KC,SF,35,24,11
1,35,321,38,27,KC,SF,24,38,-14
0,46,1804,20,13,LA,LAC,20,13,7
1,26,714,34,23,LA,LAC,20,34,-14
1,50,2130,7,3,SEA,DAL,0,7,-7
1,47,1804,17,3,SEA,DAL,14,3,11
1,35,1128,17,6,SEA,DAL,3,17,-14
0,46,2999,7,0,ARI,CHI,0,7,-7
1,20,1917,14,3,ARI,CHI,0,14,-14
1,41,949,14,13,ARI,CHI,10,14,-4
1,43,274,14,16,ARI,CHI,13,14,-1
